Call Sign,License Key,Radio Service
B375,2589978,BR
B376,2593576,BR
B377,2589979,BR
B378,2592075,BR
B379,2589980,BR
B381,2592076,BR
B382,2593577,BR
B383,2589982,BR
B384,2593578,BR
B385,2589983,BR
B386,2589984,BR
B387,2589985,BR
B389,2593579,BR
B390,2589986,BR
B391,2592078,BR
B392,2589987,BR
B393,2589988,BR
B394,2592079,BR
B395,2593580,BR
B396P01,2600925,BR
B397,2593581,BR
B398,2589990,BR
B399,2589991,BR
B400,2593582,BR
B401,2592080,BR
B402,2589992,BR
B403,2589993,BR
B404,2592081,BR
B406,2589995,BR
B409,2589996,BR
B410,2589997,BR
B413,2593585,BR
B414,2592083,BR
B415,2589999,BR
B416,2590000,BR
B417,2592084,BR
B418,2590001,BR
B419,2593586,BR
B420,2592085,BR
B421,2590002,BR
B422,2590003,BR
B423,2590004,BR
B424,2593587,BR
B425,2593588,BR
B426,2590005,BR
B427,2592086,BR
B428,2590006,BR
B429,2590007,BR
B430,2592087,BR
B433,2590009,BR
B434,2592088,BR
B436,2590011,BR
B437,2592089,BR
B438,2593590,BR
B439,2590012,BR
B440,2593591,BR
B441,2590013,BR
B443,2590014,BR
B445,2593592,BR
B446,2590015,BR
B447,2590016,BR
B448,2592091,BR
B449,2590017,BR
B450,2590018,BR
B451,2592092,BR
B452,2593593,BR
B453,2590019,BR
B454,2593594,BR
B455,2590020,BR
B457,2593595,BR
B458,2592093,BR
B459,2590022,BR
B460,2590023,BR
B461,2592094,BR
B464,2592095,BR
B465,2590025,BR
B467,2593597,BR
B468,2590027,BR
B469,2593598,BR
B472,2590029,BR
B473,2590030,BR
B475,2590031,BR
B477,2592098,BR
B478,2593600,BR
B479,2590032,BR
B480,2590033,BR
B481,2592099,BR
B482,2590034,BR
B484,2593601,BR
B485,2593602,BR
B486,2590035,BR
B489,2590037,BR
B491,2590038,BR
KD54001,2588121,ED
KFK32,2586126,BR
KGF20,2588122,ED
KGF21,2586193,ED
KGF22,2591153,ED
KGF23,2592862,ED
KGF24,2588123,ED
KGG38,2590110,ED
KGZ66,2592109,ED
KHF80,2586194,ED
KHS78,2590111,ED
KHU75,2586195,ED
KHU89,2586196,ED
KHU90,2592110,ED
KHX47,2592226,ED
KLC77,2592111,ED
KLC80,2592215,ED
