Call Sign,File Number,File Purpose,Application Status,Party in Interest,Lease ID,Commenced,Expires,Comment,OA Status
WLX432,0009500070,New Lease,Granted,"Skybeam, LLC",L000043336,04/23/2021,02/25/2022,Lease Granted,2051 Expire
WQCP981,0009504397,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC817,0009505307,New Lease,Granted,AWI Network Holdings LLC,L000043340,04/27/2021,10/07/2026,Lease Granted,2051 Expire
WNC818,0009505376,New Lease,Granted,AWI Network Holdings LLC,L000043339,04/27/2021,10/07/2026,Lease Granted,2051 Expire
WNC746,0009505383,New Lease,Granted,AWI Network Holdings LLC,L000043338,04/27/2021,05/03/2026,Lease Granted,2051 Expire
WNC742,0009505429,New Lease,Granted,AWI Network Holdings LLC,L000043337,04/27/2021,05/02/2026,Lease Granted,2051 Expire
WND454,0009526250,New Lease,Granted,Casair Spectrum Holdings LLC,L000043521,05/21/2021,08/27/2028,Lease Granted,2051 Expire
WLX731,0009526338,Assignment of Authorization,Pending,Sprint,n/a,03/04/2021,10/29/2022,Sprint Owned,
WNC867,0009527182,Assignment of Authorization,Pending,Sprint,n/a,06/19/2019,10/31/2027,Sprint Owned,
WNC943,0009527591,Assignment of Authorization,Pending,Sprint,n/a,06/19/2019,10/03/2027,Sprint Owned,
WND467,0009529087,Assignment of Authorization,Pending,Sprint,n/a,06/19/2019,08/24/2028,Sprint Owned,
WLX942,0009531648,Assignment of Authorization,Pending,Sprint,n/a,08/21/2013,08/20/2023,Sprint Owned,
WHG355,0009538933,New Lease,Granted,Sprint,L000043506,05/07/2021,05/05/2022,Lease Granted,2051 Expire
WHR791,0009539741,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX251,0009539868,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WQCN528,0009545084,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX607,0009546552,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX692,0009546566,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX869,0009547211,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX602,0009549685,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WLX798,0009551721,New Lease,Pending,Sprint,n/a,Pending,Pending,Lease Pending,2051 Expire
WNC935,0009554693,New Lease,Granted,AWI Network Holdings LLC,L000043518,05/18/2021,10/03/2027,Lease Granted,2051 Expire
WLX318,0009560842,New Lease,Granted,"JAB Wireless, Inc.",L000043637,05/29/2021,08/22/2030,Lease Granted,2051 Expire
WQCN528,0009562597,New Lease,Granted,Sprint,L000043600,05/26/2021,05/24/2022,Lease Granted,2051 Expire
WHG269,0009566027,Assignment of Authorization,Pending,Sprint,n/a,11/15/2018,10/29/2028,Sprint Owned,
WNC226,0009566664,Assignment of Authorization,Pending,Sprint,n/a,06/24/2013,05/27/2023,Sprint Owned,
